,Wind_1,Solar_1,Load_1,Wind_2,Solar_2,Load_2,Wind_3,Solar_3,Load_3,Wind_4,Solar_4,Load_4,Wind_5,Solar_5,Load_5
39,1135.4552334064476,229.84982897892385,6913.665453070633,1135.767531644725,229.5616252924481,6913.626001352302,1135.1392178648941,229.24703919693619,6913.442487949364,1135.885601233863,229.98257853641897,6914.092765057318,1135.8224417680733,229.07135579541116,6913.6155230941695
40,1137.347947557852,229.43708193252925,6915.151144836355,1137.3354664644453,229.18637973765973,6914.641711626459,1137.2945934137556,228.72020610372667,6915.286039565016,1137.318480690405,229.7661486486638,6915.2071959714185,1137.2744403681013,228.79163398544435,6914.540433753539
41,1135.83473577971,230.23610439246997,6913.561131073819,1136.2954454707576,229.9296661550413,6913.538860155926,1135.4947194146587,229.52059005296334,6913.386418773518,1136.3623230146839,230.3504131073366,6914.044350935803,1136.35949298615,229.42132695859775,6913.52352149664
42,1138.1604224815064,229.09478851647933,6915.130724125666,1138.2006303443604,229.0137433657225,6914.589833700223,1138.1697804107362,228.3761261949118,6915.188712292475,1137.9140304102593,229.50374944003184,6915.175491147799,1138.1478218211823,228.66734089942534,6914.4476070191095
43,1136.9225240211397,229.61820613977724,6914.412966358999,1137.2397256951242,229.65421133873278,6913.951556894521,1136.5925779800325,228.9414561056834,6914.318869400362,1137.4075861434847,229.64927133557612,6914.9102552268305,1137.2800971131235,229.26793929574305,6913.8583223256865
44,1139.9999159522185,229.70000552915602,6915.412119640029,1139.5250195212493,229.5766894497779,6914.57986549846,1140.0536881632934,229.06835117720632,6915.541016591705,1139.70854937507,229.7812731840518,6915.553900135673,1139.3514789290557,229.2330186643508,6914.447674257673
45,1136.7342373762476,230.29632508683923,6913.3120772768,1137.3061594400751,230.19920453358415,6913.21709226856,1136.4057990942347,229.62085893679384,6913.128794901464,1137.610611561333,230.30859941173318,6914.026031755302,1137.4335562620508,229.72615954209093,6913.193460576627
46,1138.615733635482,229.51864162161334,6915.284152719052,1139.0141751885978,229.58850523903354,6914.491652819188,1138.588666570243,228.79484632685168,6915.414530607732,1138.475414705333,229.82626897170528,6915.261241766484,1139.0716645241348,229.26448431684955,6914.31770229605
47,1139.6454102602786,231.2202536187573,6912.922041488139,1139.6080953684634,230.75870830039221,6912.956402492969,1139.5314680543727,230.60100826839644,6912.817231488673,1139.654064199049,231.0764441214009,6913.535207194535,1139.5271918979472,230.21641813437182,6912.993932199924
48,1139.8230831318901,230.27201182013445,6914.2517401200785,1139.8860259944008,230.13128602868014,6913.860790900613,1139.6162867837952,229.51685348516398,6914.319033316995,1140.0698066049622,230.61988476282053,6914.280735902215,1139.8613540822075,229.7413953877061,6913.7641694766535
49,1140.0709604402805,229.68919721753744,6915.464247020089,1140.1987652560497,229.83731082589773,6914.379507931077,1139.949337877872,228.9908230653539,6915.505743296944,1140.192049243095,229.99324563653616,6915.486045273148,1140.1946034809375,229.55640176446585,6914.1623603125445
50,1140.8524913059716,230.73160302546623,6913.549856659551,1140.7440799938684,230.6576987719238,6913.210828047771,1140.7162957059388,230.0875016218126,6913.451867711325,1140.9602653848176,230.5962169980705,6914.35093523242,1140.6671020256524,230.23881611880662,6913.150907915611
51,1140.6428873492941,231.17324433528046,6913.731806806282,1140.7633151962027,230.90203870885233,6913.361999831156,1140.486597950624,230.5044797142611,6913.783590576605,1140.9433143688902,231.15871752105812,6914.055719486431,1140.778955753015,230.43214894138436,6913.30115400906
