Date,Wind_Total Generation,Solar_Total Generation,System Load
2016-08-30,372,,7058
2016-08-31,214,,7071
2016-09-01,653,,6918
2016-09-02,846,,6736
2016-09-03,637,,6340
2016-09-04,183,,6259
2016-09-05,341,,6335
2016-09-06,425,,6728
2016-09-07,604,,6795
2016-09-08,675,,6590
2016-09-09,560,,6587
2016-09-10,923,,6287
2016-09-11,656,,6216
2016-09-12,202,,6639
2016-09-13,439,,6707
2016-09-14,143,,6829
2016-09-15,185,,6829
2016-09-16,584,,6821
2016-09-17,972,,6515
2016-09-18,964,,6399
2016-09-19,527,,6743
2016-09-20,355,,6703
2016-09-21,85,,6621
2016-09-22,324,,6707
2016-09-23,562,,6739
2016-09-24,641,,6506
2016-09-25,487,,6385
2016-09-26,724,,6823
2016-09-27,738,,6753
2016-09-28,232,,6783
2016-09-29,83,,6779
2016-09-30,185,,6734
2016-10-01,406,,6496
2016-10-02,290,,6436
2016-10-03,139,,6793
2016-10-04,216,,6868
2016-10-05,388,,6858
2016-10-06,105,,6954
2016-10-07,390,,7021
2016-10-08,319,,6846
2016-10-09,455,,6802
2016-10-10,104,,6899
2016-10-11,225,,6963
2016-10-12,621,,6952
2016-10-13,808,,6973
2016-10-14,708,,7004
2016-10-15,596,,6798
2016-10-16,731,,6721
2016-10-17,240,,7017
2016-10-18,131,,7019
2016-10-19,616,,6894
2016-10-20,1076,,6913
2016-10-21,676,,6955
2016-10-22,478,,6796
2016-10-23,230,,6819
2016-10-24,94,,7252
2016-10-25,548,,7260
2016-10-26,277,,7157
2016-10-27,592,,7208
2016-10-28,62,,7188
2016-10-29,255,,6948
2016-10-30,454,,6836
2016-10-31,426,,7098
2016-11-01,666,,7310
2016-11-02,851,,7228
2016-11-03,1057,,7134
2016-11-04,860,,7010
2016-11-05,1016,,6752
2016-11-06,790,,6707
2016-11-07,839,,7171
2016-11-08,1033,,7159
2016-11-09,883,,7076
2016-11-10,411,,7143
2016-11-11,789,,6761
2016-11-12,932,,6782
2016-11-13,966,,6733
2016-11-14,867,,7009
2016-11-15,459,,7195
2016-11-16,248,,7268
2016-11-17,50,,7408
2016-11-18,136,,7406
2016-11-19,442,,7241
2016-11-20,377,,7175
2016-11-21,828,,7408
2016-11-22,578,,7590
2016-11-23,661,,7549
2016-11-24,989,,7560
2016-11-25,1069,,7460
2016-11-26,483,,7271
2016-11-27,612,,7266
2016-11-28,123,,7721
2016-11-29,195,,7735
2016-11-30,553,,7730
2016-12-01,206,,7698
2016-12-02,854,,7655
2016-12-03,941,,7305
2016-12-04,614,,7440
2016-12-05,613,,7991
2016-12-06,468,,8129
2016-12-07,240,,8144
2016-12-08,5,,8253
2016-12-09,103,,8232
2016-12-10,60,,8083
2016-12-11,223,,8039
2016-12-12,450,,8144
2016-12-13,560,,8022
2016-12-14,313,,8080
2016-12-15,261,,8203
2016-12-16,189,,8341
2016-12-17,844,,8134
2016-12-18,1225,,7686
2016-12-19,1102,,7813
2016-12-20,1009,,7763
2016-12-21,1158,,7783
2016-12-22,1091,,7650
2016-12-23,262,,7686
2016-12-24,294,,7412
2016-12-25,73,,7335
2016-12-26,885,,7432
2016-12-27,1099,,7392
2016-12-28,1285,,7579
2016-12-29,962,,7572
2016-12-30,741,,7412
2016-12-31,688,,7182
2017-01-01,422,,7282
2017-01-02,23,,7718
2017-01-03,181,,8007
2017-01-04,399,,7821
2017-01-05,530,,7774
2017-01-06,366,,7942
2017-01-07,192,,7764
2017-01-08,92,,7671
2017-01-09,140,,8012
2017-01-10,346,,8117
2017-01-11,826,,8070
2017-01-12,771,,7986
2017-01-13,911,,7772
2017-01-14,989,,7304
2017-01-15,946,,7029
2017-01-16,1049,,7473
2017-01-17,1120,,7337
2017-01-18,1088,,7339
2017-01-19,975,,7386
2017-01-20,505,,7339
2017-01-21,87,,7341
2017-01-22,16,,7429
2017-01-23,6,,7741
2017-01-24,34,,7682
2017-01-25,389,,7605
2017-01-26,810,,7445
2017-01-27,1055,,7333
2017-01-28,1256,,7035
2017-01-29,1100,,6974
2017-01-30,943,,7484
2017-01-31,430,,7631
2017-02-01,217,,7610
2017-02-02,187,,7667
2017-02-03,280,,7702
2017-02-04,57,,7469
2017-02-05,45,,7464
2017-02-06,131,,7933
2017-02-07,125,,7950
2017-02-08,292,,7914
2017-02-09,584,,7794
2017-02-10,953,,7605
2017-02-11,1109,,7228
2017-02-12,1272,,7078
2017-02-13,864,,7312
2017-02-14,972,,7271
2017-02-15,1149,,7223
2017-02-16,1061,,7140
2017-02-17,830,,7096
2017-02-18,202,,6955
2017-02-19,356,,6913
2017-02-20,355,,7023
2017-02-21,52,,7382
2017-02-22,153,,7384
2017-02-23,52,,7443
2017-02-24,89,,7509
2017-02-25,634,,7249
2017-02-26,386,,7227
2017-02-27,155,,7509
2017-02-28,133,,7545
2017-03-01,556,,7476
2017-03-02,622,,7401
2017-03-03,1107,,7268
2017-03-04,781,,7200
2017-03-05,23,,7214
2017-03-06,123,,7486
2017-03-07,251,,7548
2017-03-08,273,,7612
2017-03-09,69,,7671
2017-03-10,214,,7700
2017-03-11,150,,7494
2017-03-12,158,,7327
2017-03-13,802,,7513
2017-03-14,785,,7290
2017-03-15,831,,7180
2017-03-16,601,,7241
2017-03-17,475,,7140
2017-03-18,1158,,6779
2017-03-19,727,,6838
2017-03-20,352,,7309
2017-03-21,677,,7242
2017-03-22,949,,7178
2017-03-23,766,,7234
2017-03-24,491,,7131
2017-03-25,938,,6827
2017-03-26,519,,6725
2017-03-27,487,,7067
2017-03-28,1014,,7187
2017-03-29,576,,7136
2017-03-30,472,,7175
2017-03-31,532,,7093
2017-04-01,891,,6798
2017-04-02,469,,6690
2017-04-03,399,,6922
2017-04-04,541,,6922
2017-04-05,917,,6855
2017-04-06,622,,6861
2017-04-07,659,,6864
2017-04-08,805,,6719
2017-04-09,216,,6698
2017-04-10,811,,6847
2017-04-11,479,,6837
2017-04-12,218,,6903
2017-04-13,374,,6934
2017-04-14,1066,,6679
2017-04-15,914,,6585
2017-04-16,326,,6519
2017-04-17,494,,6858
2017-04-18,659,,6884
2017-04-19,557,,6820
2017-04-20,396,,6901
2017-04-21,432,,6853
2017-04-22,427,,6679
2017-04-23,306,,6657
2017-04-24,137,,6914
2017-04-25,195,,6950
2017-04-26,91,,6971
2017-04-27,41,,6959
2017-04-28,80,,6884
2017-04-29,500,,6546
2017-04-30,761,,6512
2017-05-01,351,,6855
2017-05-02,351,,6782
2017-05-03,725,,6868
2017-05-04,474,,6841
2017-05-05,558,,6906
2017-05-06,609,,6719
2017-05-07,454,,6506
2017-05-08,352,,6798
2017-05-09,155,,6750
